collection_time_utc,fetch_success,api_status,error_message,target_city,station_code,station_name,station_latitude,station_longitude,aqicn_idx,api_time,aqi,pm25,pm10,no2,so2,co,o3,nh3,no,nox,temperature,humidity,pressure,wind
2026-09-21T14:22:26.392871+00:00,True,ok,,Byrnihat,A1364707,"15th Mile-Nongthymmai, Byrnihat",29.6292,91.0834,1389,2026-09-21 19:00:00,42,30,9,3.2,3.6,2.8,41.5,,,,12.5,17,647.7,5
2026-09-21T14:22:27.234542+00:00,True,ok,,Guwahati,H11844,"Railway Colony, Guwahati, India",29.6292,91.0834,1389,2026-09-21 19:00:00,42,30,9,3.2,3.6,2.8,41.5,,,,12.5,17,647.7,5
2026-09-21T14:22:27.861059+00:00,True,ok,,Shillong,H12740,"Lumpyngngad, Shillong, India",29.6292,91.0834,1389,2026-09-21 19:00:00,42,30,9,3.2,3.6,2.8,41.5,,,,12.5,17,647.7,5
2026-09-21T14:27:45.663699+00:00,True,ok,,Byrnihat,A1364707,"15th Mile-Nongthymmai, Byrnihat",29.6292,91.0834,1389,2026-09-21 19:00:00,42,30,9,3.2,3.6,2.8,41.5,,,,12.5,17,647.7,5
2026-09-21T14:27:46.344812+00:00,True,ok,,Guwahati,H11844,"Railway Colony, Guwahati, India",29.6292,91.0834,1389,2026-09-21 19:00:00,42,30,9,3.2,3.6,2.8,41.5,,,,12.5,17,647.7,5
2026-09-21T14:27:46.894793+00:00,True,ok,,Shillong,H12740,"Lumpyngngad, Shillong, India",29.6292,91.0834,1389,2026-09-21 19:00:00,42,30,9,3.2,3.6,2.8,41.5,,,,12.5,17,647.7,5
2026-09-21T16:17:12.610967+00:00,True,ok,,Byrnihat,A1364707,"15th Mile-Nongthymmai, Byrnihat",29.6292,91.0834,1389,2026-09-21 19:00:00,42,30,9,3.2,3.6,2.8,41.5,,,,12.5,17,647.7,5
2026-09-21T16:17:13.501673+00:00,True,ok,,Guwahati,H11844,"Railway Colony, Guwahati, India",29.6292,91.0834,1389,2026-09-21 19:00:00,42,30,9,3.2,3.6,2.8,41.5,,,,12.5,17,647.7,5
2026-09-21T16:17:14.231931+00:00,True,ok,,Shillong,H12740,"Lumpyngngad, Shillong, India",29.6292,91.0834,1389,2026-09-21 19:00:00,42,30,9,3.2,3.6,2.8,41.5,,,,12.5,17,647.7,5
2026-09-21T20:50:04.352473+00:00,True,ok,,Byrnihat,A1364707,"15th Mile-Nongthymmai, Byrnihat",29.6292,91.0834,1389,2026-09-22 03:00:00,41,13,6,1.9,3.1,2.8,40.7,,,,12.5,17,647.7,5
2026-09-21T20:50:05.153400+00:00,True,ok,,Guwahati,H11844,"Railway Colony, Guwahati, India",29.6292,91.0834,1389,2026-09-22 03:00:00,41,13,6,1.9,3.1,2.8,40.7,,,,12.5,17,647.7,5
2026-09-21T20:50:05.784152+00:00,True,ok,,Shillong,H12740,"Lumpyngngad, Shillong, India",29.6292,91.0834,1389,2026-09-22 03:00:00,41,13,6,1.9,3.1,2.8,40.7,,,,12.5,17,647.7,5
2026-09-21T23:52:44.483499+00:00,True,ok,,Byrnihat,A1364707,"15th Mile-Nongthymmai, Byrnihat",29.6292,91.0834,1389,2026-09-22 07:00:00,39,13,6,1.9,3.1,1.9,39,,,,12.5,17,647.7,5
2026-09-21T23:52:45.402408+00:00,True,ok,,Guwahati,H11844,"Railway Colony, Guwahati, India",29.6292,91.0834,1389,2026-09-22 07:00:00,39,13,6,1.9,3.1,1.9,39,,,,12.5,17,647.7,5
2026-09-21T23:52:46.087310+00:00,True,ok,,Shillong,H12740,"Lumpyngngad, Shillong, India",29.6292,91.0834,1389,2026-09-22 07:00:00,39,13,6,1.9,3.1,1.9,39,,,,12.5,17,647.7,5
